gap_id,start_date,end_date,length_days,gap_class,seasons,extrapolation_beyond_validation,scenario_only_256day,tsicl_satellite_proxy_mean_pred_chl,tsicl_satellite_proxy_n_days,engineered_hybrid_mean_reconstructed_chl,engineered_hybrid_method,engineered_hybrid_n_days,note_artificial_validation,note_real_gap_caveat,note_256day_scenario
REAL_L031_20180618,2018-06-18,2018-07-20,33,long,JJA,yes,False,1.6795,33,1.8382,gap_edge_residual_model,33,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20180727,2018-07-27,2018-07-27,1,short,JJA,no,False,1.5594,1,1.5426,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20180803,2018-08-03,2018-08-03,1,short,JJA,no,False,1.7552,1,1.4447,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20180810,2018-08-10,2018-08-10,1,short,JJA,no,False,0.7245,1,0.7367,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20180817,2018-08-17,2018-08-17,1,short,JJA,no,False,1.6218,1,1.6408,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20180826,2018-08-26,2018-08-26,1,short,JJA,no,False,2.6687,1,2.7915,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20180829,2018-08-29,2018-08-29,1,short,JJA,no,False,3.2906,1,3.3854,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20180905,2018-09-05,2018-09-06,2,short,SON,interpolation_within_range,False,0.9597,2,0.9863,gaussian_process,2,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20180913,2018-09-13,2018-09-14,2,short,SON,interpolation_within_range,False,0.6093,2,0.5961,gaussian_process,2,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20180920,2018-09-20,2018-09-21,2,short,SON,interpolation_within_range,False,1.0539,2,1.0389,gaussian_process,2,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20180927,2018-09-27,2018-09-28,2,short,SON,interpolation_within_range,False,8.7986,2,9.2055,gaussian_process,2,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20181004,2018-10-04,2018-10-05,2,short,SON,interpolation_within_range,False,7.0208,2,7.7146,gaussian_process,2,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20181011,2018-10-11,2018-10-11,1,short,SON,no,False,7.0616,1,7.2623,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20181023,2018-10-23,2018-10-23,1,short,SON,no,False,9.7497,1,8.9942,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20190109,2019-01-09,2019-01-09,1,short,DJF,no,False,5.3009,1,5.122,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20190226,2019-02-26,2019-02-28,3,short,DJF,no,False,10.7613,3,13.3594,gaussian_process,3,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L031_20190308,2019-03-08,2019-04-24,48,long,MAM,yes,False,2.9174,48,3.7087,gap_edge_residual_model,48,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L010_20190429,2019-04-29,2019-05-07,9,medium,MAM,interpolation_within_range,False,1.0525,9,1.0726,state_space_kalman,9,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20190514,2019-05-14,2019-05-14,1,short,MAM,no,False,2.6078,1,2.5348,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L031_20190824,2019-08-24,2019-10-16,54,long,SON,yes,False,3.4906,54,2.5222,gap_edge_residual_model,54,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20200113,2020-01-13,2020-01-13,1,short,DJF,no,False,7.0661,1,6.8686,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L091_20200211,2020-02-11,2020-10-23,256,very_long,MAM/JJA/SON,yes,True,3.4719,256,4.992,gap_edge_residual_model,256,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.","Scenario-only output, far outside the validated gap-length envelope (max validated ~60 days)."
